motivo viaje,hora inicio,latitud origen,latitud destino,longitud origen,longitud destino,duracion viaje,dia habil,troncal origen,troncal destino
Volver a casa,13:00:00,4.60134,4.56924,-74.06931999999999,-74.11827,01:30:00,1,J,H
Trabajar,04:30:00,4.54741,4.71767,-74.11278,-74.10335,01:58:00,1,H,C
Volver a casa,17:00:00,4.71767,4.54741,-74.10335,-74.11278,02:20:00,1,C,H
Trabajar,07:00:00,4.7444,4.57308,-74.09445,-74.13935,01:30:00,1,C,H
Volver a casa,14:57:30,4.57308,4.7444,-74.13935,-74.09445,01:59:00,1,H,C
Trabajar,05:30:00,4.7481,4.65163,-74.09991,-74.04978,01:30:00,1,C,A
Volver a casa,12:01:00,4.65163,4.7481,-74.04978,-74.09991,02:50:00,1,A,C
Ir a ver a alguien,11:58:00,4.63143,4.63127,-74.17965,-74.06342,00:46:00,0,G,A
Estudiar,04:30:00,4.6795599999999995,4.58982,-74.1388,-74.07421,03:00:00,1,D,L
Volver a casa,07:42:30,4.58982,4.67925,-74.07421,-74.13837,01:50:00,1,L,D
Estudiar,06:45:00,4.67925,4.58982,-74.13837,-74.07421,02:00:00,1,D,L
Volver a casa,09:37:45,4.58982,4.67925,-74.07421,-74.13837,00:50:00,1,L,D
Estudiar,06:10:00,4.73045,4.6506099999999995,-74.08976,-74.07001,01:05:00,1,C,E
Volver a casa,20:00:00,4.6506099999999995,4.732130000000001,-74.07001,-74.10074,00:45:00,1,E,C
Tramites,09:00:00,4.732130000000001,4.61132,-74.10074,-74.09416,01:00:00,1,C,J
Volver a casa,11:00:00,4.61132,4.732130000000001,-74.09416,-74.10074,01:15:00,1,J,C
Trabajar,08:00:00,4.73148,4.5690800000000005,-74.1019,-74.12069,02:30:00,1,C,H
Tramites,08:00:00,4.73506,4.60039,-74.1022,-74.07571999999999,02:00:00,1,C,J
Volver a casa,10:21:00,4.60039,4.73506,-74.07571999999999,-74.1022,01:40:00,1,J,C
Trabajar,05:30:00,4.735180000000001,4.69315,-74.1025,-74.15664,01:12:00,1,C,D
Volver a casa,07:44:26,4.69315,4.735180000000001,-74.15664,-74.1025,01:41:30,1,D,C
Compras,13:35:00,4.73625,4.61076,-74.10885999999999,-74.07346,02:01:00,1,C,J
Volver a casa,17:32:00,4.61076,4.73625,-74.07346,-74.10885999999999,01:10:00,1,J,C
Estudiar,06:51:00,4.73639,4.61003,-74.10911,-74.06571,01:00:00,1,C,J
Volver a casa,15:56:00,4.61003,4.73625,-74.06571,-74.10885999999999,02:00:00,1,J,C
Estudiar,06:51:00,4.7333,4.73882,-74.1041,-74.10731,01:00:00,1,C,C
Volver a casa,15:56:00,4.73882,4.7333,-74.10731,-74.1041,02:00:00,1,C,C
Trabajar,05:45:00,4.6445099999999995,4.75363,-74.17108,-74.05673,01:51:00,0,F,B
Ir a ver a alguien,17:53:00,4.75363,4.60961,-74.05673,-74.09413,01:50:00,0,B,J
Trabajar,05:38:00,4.6445099999999995,4.68726,-74.17108,-74.08121,02:01:00,0,F,D
Volver a casa,12:37:39,4.68726,4.6445099999999995,-74.08121,-74.17108,01:33:00,0,D,F
Trabajar,07:00:00,4.56689,4.57418,-74.11357,-74.16552,00:30:00,1,H,G
Volver a casa,18:00:00,4.57418,4.56689,-74.16552,-74.11357,00:30:00,1,G,H
